Q,A
"الملك عبدالعزيز ومرحلة التأسيس

خطة الملك عبد العزيز في استرداد الرياض:

- بعد وصول عبد العزيز إلي أطراف الرياض أعد خطة قسم خلالها أنصاره إلي ثلاث مجموعات:

- المجموعة الأولي : تبقي مع الركائب» المجموعة الثانية تتقدم وترابط في إحدى مزارع البلدة؛ والثالثة بقيادته تدخل
إلي الرياض مستفيداً من تهدم أسوارها.

- استطاع هو ورجاله الإنقضاض علي عجلان بن مجد وقتله ؛ مما اضطر باقي افراد الحامية للاستسلام.

- ثم نودي بأن الحكم لله ثم لعبد العزيز بن عبد الرحمن بن فيصل آل سعود في شوال سنة 1319ه الموافق يناير
2 معم.
",11
"الملك عبدالعزيز ومرحلة التأسيس: توحيد البلاد
توحيد البلاد :

ا ل ل ا ال ل ب ا
في عام 1351ه ؛ 1932م.

ل الود ده ان اع ال ل ا ا اع
لج الع الا الم ادع جني التجيف الي جل ل 1جمادى الاولى
ا ل لم ل لل ا ا ا

- بعد توحيد المملكة بدا لاد ا 1 م ل ا لك ا ا خا
ا

",12
"ولكم الشكر الجزيل
",13
"راس
وقيم المواطنة
في المجتمع العربي السعودي

آد. تركي بن عجلان الحارثي

آد. محمد بن سعيد الغامدي

",14
"راس
وقيم المواطنة
في المجتمع العربي السعودي

آد. تركي بن عجلان الحارثي

آد. محمد بن سعيد الغامدي

",15
"خا لل ا أ ا اك اا ا م

تهدف المحاضرة الى :

. ‏متابعة نشأة وتطور المملكة العربية السعودية‎ ٠

‎٠‏ من المتوقع في نهاية المحاضرة:

‎٠‏ أن يميز الطالب / تميز الطالبة بين الأهمية الدينية والاستراتيجية والاقتصادية للمملكة العربية السعودية.

‎. ‏أن يتعرف الطالب / تتعرف الطالبة على الظروف التي أسهمت في تكوين شخصية الملك عبدالعزيز آل سعود‎ ٠

‎. ‏أن يعدد الطالبٍ / تعدد الطالبة المراحل التي مرت بها عملية توحيد المملكة العربية السعودية‎ ٠
",16
"المملكة العربية السعودية واحدة من الدول التي نشأت وتشكلت في العصر الحديث والتي استطاعت في مدة زمنية
قصيرة أن تصبح واحدة من أهم الدول علي المستوى العربي والإقليمي والإسلامي والعالمي.
",17
"تكمن أهمية المملكة العربية السعودية فى أربعة عناصر أساسية :
1- أهمية تاريخية :
تعد المملكة من الدول التي لها جذورها التاريخية الضاربة في عمق التاريخ ؛ إذ أنها تهيمن علي واحدة من المناطق التي

نشأت على أطرافها العديد من الحضارات.

2- أهمية الدينية :
لأنها مهبط الوحي وفيها بيت الله الحرام ومسجد رسوله #5 فهي قبلة المسلمين ووجهتهم لإداء الركن الخامس من أركان
الإسلدا

إسلام.
",18
"**” ديجيه

نظرا لموقعها على طرق بحرية تعد من الطرق البحرية العالمية الهامة ( الخليج العربي شرقاً ؛ والبحر الأحمر غرباً).
4- أهمية اقتصادية :

لأنها دولة بترولية تملك حوالي 9620 من الاحتياطي العالمي من البترول» مما جعل منها قوة اقتصادية؛ وزاد تماسكها
الداخلي وأعطاها أهمية إقليمية وتقلاً دولياً
",19
"نشأة الدولة السعودية: مرت الدولة بثلاثة أدوار

- نشأت الدولة السعودية الأولى في نجد خلال القرن الثاني عشر هجري ( الثامن عشر الميلادي) في نجد
وامتدت من 1233-1159ه.
- بينما قامت الدولة السعودية الثانية عام 1240ه لتمتد حتى 1309ه.

- تأسست الدولة السعودية الثالثة على يد الملك عبدالعزيز بن عبدالرحمن بن فيصل آل سعود عام 1319ه.
",20
"4 ا

الملك عبدالعزيز (رحمه الله) الميلاد والنشأة:

- ولد الملك عبد العزيز بن عبد الرحمن بن فيصل بن تركى بن مجد بن سعود بن

مقرن آل سعود في الرياض في ذي الحجة عام 1293ه .

- حرص والده علي تعليمه العلوم الدينية التي كان لها الأثر الكبير في شخصيته

وانعكس ذلك في إتخاذه للقرارات الصائبة. ومقدراته الخطابية العالية .

- اتسم بالعديد من السمات الايجابية مثل : الفطنة؛ الحكمة. الذكاء والصبر .

- غادر مع أسرته إلي الكويت التي كانت أكثر إنفتاحاً من نجد ؛ حيث كان هناك

العديد من البعثات الدبلوماسية التي تمثل بلدانها. الامر الذي اكسبه خبرات إضافية.

",21
"الا ا ا

- نظرا للعلاقة بين الإمام عبد الرحمن وبين الشيخ مارك آل الصباح كانت فرصة له للحضور مع والده مجلس الشيخ
مبارك الذي كان يعج بالاستقبالات الدبلوماسية والمناقشات السياسية التي اكتسب منها عبد العزيز الكثير من اللباقة
سال

معركة الصريف :

- كانت الفرصة مواتية لعبد العزيز لخوض تجربة العودة إلي الرياض عندما قام الشيخ مبارك آل الصباح برفقة والده عبد
الرحمن الفيصل بالقيام بحملة ضد عبد العزيز بن الرشيد.

- بالرغم من الهزيمة في هذه المعركة إلا أنها اكسبت عبد العزيز خبرة ومعرفة كبيرة عن أخبار أهل الرياض التي كان قد
انقطع عنها عشر سنوات.
",22
"الملك عبدالعزيز ومرحلة التأسيس

رحلة الملك عبد العزيز للعودة مرة آخري إلي الرياض:
وال سر الي كيل بسني لاك بل ماران لاني مه جل الا

- وقد تم تأييد الشيخ مبارك الصباح له مما جعل الإمام عبد الرحمن يستجيب لرغبة أبنه؛ وحصل من الشيخ علي دعم

- اجتمع معه نحو 40 رجلاً؛ وفي الطريق توقف عند يبرين و اجتمع معه عدد كبير من قبائل المنطقة يقدر بألف رجل
كان هدفهم التخلص من حكم ابن رشيد.
",23
"الملك عبدالعزيز ومرحلة التأسيس

خطة الملك عبد العزيز في استرداد الرياض:

- بعد وصول عبد العزيز إلي أطراف الرياض أعد خطة قسم خلالها أنصاره إلي ثلاث مجموعات:

- المجموعة الأولي : تبقي مع الركائب» المجموعة الثانية تتقدم وترابط في إحدى مزارع البلدة؛ والثالثة بقيادته تدخل
إلي الرياض مستفيداً من تهدم أسوارها.

- استطاع هو ورجاله الإنقضاض علي عجلان بن مجد وقتله ؛ مما اضطر باقي افراد الحامية للاستسلام.

- ثم نودي بأن الحكم لله ثم لعبد العزيز بن عبد الرحمن بن فيصل آل سعود في شوال سنة 1319ه الموافق يناير
2 معم.
",24
"الملك عبدالعزيز ومرحلة التأسيس: توحيد البلاد
توحيد البلاد :

ا ل ل ا ال ل ب ا
في عام 1351ه ؛ 1932م.

ل الود ده ان اع ال ل ا ا اع
لج الع الا الم ادع جني التجيف الي جل ل 1جمادى الاولى
ا ل لم ل لل ا ا ا

- بعد توحيد المملكة بدا لاد ا 1 م ل ا لك ا ا خا
ا

",25
"ولكم الشكر الجزيل
",26
